kind,offset,length,width_px,height_px,file,note
graphic,0x04bdf3,22,8,12,graphics/gfx_0015cb_8x12_1bpp.png,run after 0x001595
graphic-header,0x04bdf3,22,8,12,headers/gfx_0015cb_8x12_1bpp.h,run after 0x001595
graphic,0x04be09,22,8,12,graphics/gfx_0015e1_8x12_1bpp.png,run after 0x001595
graphic-header,0x04be09,22,8,12,headers/gfx_0015e1_8x12_1bpp.h,run after 0x001595
graphic,0x04be1f,22,8,12,graphics/gfx_0015f7_8x12_1bpp.png,run after 0x001595
graphic-header,0x04be1f,22,8,12,headers/gfx_0015f7_8x12_1bpp.h,run after 0x001595
graphic,0x04be35,22,8,12,graphics/gfx_00160d_8x12_1bpp.png,run after 0x001595
graphic-header,0x04be35,22,8,12,headers/gfx_00160d_8x12_1bpp.h,run after 0x001595
graphic,0x04be4b,22,8,12,graphics/gfx_001623_8x12_1bpp.png,run after 0x001595
graphic-header,0x04be4b,22,8,12,headers/gfx_001623_8x12_1bpp.h,run after 0x001595
graphic,0x04be61,22,8,12,graphics/gfx_001639_8x12_1bpp.png,run after 0x001595
graphic-header,0x04be61,22,8,12,headers/gfx_001639_8x12_1bpp.h,run after 0x001595
graphic,0x04be77,22,8,12,graphics/gfx_00164f_8x12_1bpp.png,run after 0x001595
graphic-header,0x04be77,22,8,12,headers/gfx_00164f_8x12_1bpp.h,run after 0x001595
graphic,0x04be8d,22,8,12,graphics/gfx_001665_8x12_1bpp.png,run after 0x001595
graphic-header,0x04be8d,22,8,12,headers/gfx_001665_8x12_1bpp.h,run after 0x001595
graphic,0x04bea3,22,8,12,graphics/gfx_00167b_8x12_1bpp.png,run after 0x001595
graphic-header,0x04bea3,22,8,12,headers/gfx_00167b_8x12_1bpp.h,run after 0x001595
graphic,0x04beb9,34,16,12,graphics/gfx_001691_16x12_1bpp.png,run after 0x001595
graphic-header,0x04beb9,34,16,12,headers/gfx_001691_16x12_1bpp.h,run after 0x001595
graphic,0x04bedb,22,8,12,graphics/gfx_0016b3_8x12_1bpp.png,run after 0x001595
graphic-header,0x04bedb,22,8,12,headers/gfx_0016b3_8x12_1bpp.h,run after 0x001595
graphic,0x04bef1,38,16,14,graphics/gfx_0016c9_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bef1,38,16,14,headers/gfx_0016c9_16x14_1bpp.h,run after 0x001595
graphic,0x04bf17,38,16,14,graphics/gfx_0016ef_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bf17,38,16,14,headers/gfx_0016ef_16x14_1bpp.h,run after 0x001595
graphic,0x04bf3d,38,16,14,graphics/gfx_001715_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bf3d,38,16,14,headers/gfx_001715_16x14_1bpp.h,run after 0x001595
graphic,0x04bf63,38,16,14,graphics/gfx_00173b_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bf63,38,16,14,headers/gfx_00173b_16x14_1bpp.h,run after 0x001595
graphic,0x04bf89,38,16,14,graphics/gfx_001761_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bf89,38,16,14,headers/gfx_001761_16x14_1bpp.h,run after 0x001595
graphic,0x04bfaf,38,16,14,graphics/gfx_001787_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bfaf,38,16,14,headers/gfx_001787_16x14_1bpp.h,run after 0x001595
graphic,0x04bfd5,38,16,14,graphics/gfx_0017ad_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bfd5,38,16,14,headers/gfx_0017ad_16x14_1bpp.h,run after 0x001595
graphic,0x04bffb,38,16,14,graphics/gfx_0017d3_16x14_1bpp.png,run after 0x001595
graphic-header,0x04bffb,38,16,14,headers/gfx_0017d3_16x14_1bpp.h,run after 0x001595
graphic,0x04c021,38,16,14,graphics/gfx_0017f9_16x14_1bpp.png,run after 0x001595
graphic-header,0x04c021,38,16,14,headers/gfx_0017f9_16x14_1bpp.h,run after 0x001595
graphic,0x04c047,38,16,14,graphics/gfx_00181f_16x14_1bpp.png,run after 0x001595
graphic-header,0x04c047,38,16,14,headers/gfx_00181f_16x14_1bpp.h,run after 0x001595
graphic,0x04c06d,38,16,14,graphics/gfx_001845_16x14_1bpp.png,run after 0x001595
graphic-header,0x04c06d,38,16,14,headers/gfx_001845_16x14_1bpp.h,run after 0x001595
graphic,0x04c093,24,8,14,graphics/gfx_00186b_8x14_1bpp.png,run after 0x001595
graphic-header,0x04c093,24,8,14,headers/gfx_00186b_8x14_1bpp.h,run after 0x001595
graphic,0x04c0ab,38,16,14,graphics/gfx_001883_16x14_1bpp.png,run after 0x001595
graphic-header,0x04c0ab,38,16,14,headers/gfx_001883_16x14_1bpp.h,run after 0x001595
graphic,0x04c0d1,38,16,14,graphics/gfx_0018a9_16x14_1bpp.png,run after 0x001595
graphic-header,0x04c0d1,38,16,14,headers/gfx_0018a9_16x14_1bpp.h,run after 0x001595
graphic,0x04c0f7,22,8,12,graphics/gfx_0018cf_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c0f7,22,8,12,headers/gfx_0018cf_8x12_1bpp.h,run after 0x001595
graphic,0x04c10d,22,8,12,graphics/gfx_0018e5_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c10d,22,8,12,headers/gfx_0018e5_8x12_1bpp.h,run after 0x001595
graphic,0x04c123,22,8,12,graphics/gfx_0018fb_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c123,22,8,12,headers/gfx_0018fb_8x12_1bpp.h,run after 0x001595
graphic,0x04c139,22,8,12,graphics/gfx_001911_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c139,22,8,12,headers/gfx_001911_8x12_1bpp.h,run after 0x001595
graphic,0x04c14f,22,8,12,graphics/gfx_001927_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c14f,22,8,12,headers/gfx_001927_8x12_1bpp.h,run after 0x001595
graphic,0x04c165,22,8,12,graphics/gfx_00193d_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c165,22,8,12,headers/gfx_00193d_8x12_1bpp.h,run after 0x001595
graphic,0x04c17b,22,8,12,graphics/gfx_001953_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c17b,22,8,12,headers/gfx_001953_8x12_1bpp.h,run after 0x001595
graphic,0x04c191,22,8,12,graphics/gfx_001969_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c191,22,8,12,headers/gfx_001969_8x12_1bpp.h,run after 0x001595
graphic,0x04c1a7,22,8,12,graphics/gfx_00197f_8x12_1bpp.png,run after 0x001595
